Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Зубко,Христина,Петрівна,жіноча,1938-09-19,Астронавт,село Куп'янськ,"площа Цементний, буд. 046 кв. 1, Саки , 13456",+380 37 161 70 32,pelekhstefan@example.org
Дейнеко,Мартин,Євгенович,чоловіча,1961-03-28,Програміст,селище Камінь-Каширський,"набережна Десята, буд. 938, Костопіль, 97872",+380 19 390-10-62,tereza04@example.com
Супруненко,Віра,Федорівна,жіноча,1972-12-17,Ювелір,село Кам'янське,"проспект Складська, буд. 76 кв. 30, Таврійськ, 23377",+380 14 243-68-28,ffareniuk@example.net
Самойленко,Мирослав,Богданович,чоловіча,1989-10-02,Машиніст,село Стрий,"шосе Катерининська, буд. 9, Лубни, 19484",723-56-17,marusiapavlenko@example.net
Титаренко,Одарка,Андріївна,жіноча,1933-03-16,Машиніст,місто Верхівцеве,"шосе 11-та Лінія Марії Демченко, буд. 116, Інкерман, 31733",+380 82 960-41-96,nestorishchak@example.net
Базилевська,Валентина,Миколаївна,жіноча,2004-12-26,Кінокритик,село Львів,"площа Інтернаціональний, буд. 867, Антрацит , 34078",428-24-54,mykhailynakashchenko@example.org
Андрійчук,Зиновій,Дмитрович,чоловіча,1932-09-13,Фотограф,місто Вараш,"проспект Трояндова, буд. 671 кв. 811, Черкаси, 32008",040 736 67 52,okseniia12@example.net
Вдовенко,Стефан,Захарович,чоловіча,1984-07-02,Локсмайстер,селище Батурин,"шосе Першотравневий 2-й, буд. 51, Свалява, 50113",658-16-04,illia99@example.com
Конопленко,Михайлина,Вікторівна,жіноча,1978-03-01,Астрофізик,селище Судова Вишня,"проспект Кримський, буд. 74 кв. 401, Українка , 48389",310-70-83,ismyk@example.com
Фурс,Яків,Сергійович,чоловіча,1977-12-06,Сантехнік,село Новий Буг,"парк Аеропортівська, буд. 5, Антрацит , 97144",+380 81 902 92 09,zshvachko@example.net
Бакуменко,Едита,Євгенівна,жіноча,1969-03-08,Співак,селище Дніпрорудне,"провулок Парашутний, буд. 1 кв. 20, Вашківці, 61929",045 514-00-75,anzhelachmil@example.com
Левченко,Сніжана,Леонідівна,жіноча,1947-02-05,Продюсер,хутір Ізяслав,"площа Панченка, буд. 305 кв. 43, Сулимівка (Слов'янськ), 66864",+380 04 855-64-08,wdzhun@example.org
Корбут,Зиновій,Григорович,чоловіча,1994-10-05,Диригент,місто Южноукраїнськ,"провулок Фруктовий, буд. 7 кв. 3, Чоп, 30658",+380 (61) 386-74-14,mykhailyna42@example.com
Тригуб,Камілла,Богданівна,жіноча,2006-01-14,Пекар,село Новодружеськ,"провулок Єліна, буд. 4 кв. 317, Стрий, 58690",843 73 99,demianenkoanastasiia@example.net
Титаренко,Любов,Петрівна,жіноча,1965-06-22,Кінокритик,село Селидове,"вулиця Листяний, буд. 01, Ананьїв, 68377",+380 (72) 814-64-49,andreikovladyslav@example.net
Андрійчук,Тарас,Михайлович,чоловіча,1985-04-27,Кушнір,місто Заставна,"узвіз Бібліотечна, буд. 588 кв. 1, Лубни, 69157",+380 58 788-26-23,liza01@example.org
Адаменко,Григорій,Русланович,чоловіча,1932-06-15,Детектив,селище Ківерці,"парк Військовий узвіз, буд. 36, Шаргород, 83651",014-71-28,ndemianiuk@example.org
Швачко,Прохір,Тарасович,чоловіча,1963-02-20,Електрик,селище Кадіївка,"шосе Лінія 28-ма, буд. 30 кв. 38, Часів Яр, 78978",032 427 52 07,vadymbezborodko@example.org
Лисенко,Сергій,Дмитрович,чоловіча,1969-02-23,Сантехнік,село Тараща,"вулиця Сумська, буд. 9, Бобринець, 97635",025 458-20-97,fisaienko@example.org
Карпенко,Лукʼян,Костянтинович,чоловіча,1953-06-14,Громадський діяч,хутір Костопіль,"площа Лиманчик 2-й Лінія 4-та, буд. 85, Старокостянтинів, 78921",369 45 64,mariana42@example.org
Хоменко,Людмила,Вікторівна,жіноча,1931-04-29,М'ясник,хутір Гнівань,"площа Канатний, буд. 542, Лубни, 25637",015 249 36 13,sviatoslava58@example.org
Удовенко,Олесь,Юрійович,чоловіча,1981-04-01,Пекар,хутір Торецьк,"набережна Чорноморський 11-й, буд. 3 кв. 61, Павлоград, 26607",+380 03 249 14 07,nivanchenko@example.org
Рак,Августин,Костянтинович,чоловіча,1960-09-22,Драматург,селище Гнівань,"парк Сухолиманна, буд. 86 кв. 942, Мукачево, 88488",097 395 16 97,solomiiavernyhora@example.net
Захаренко,Світлана,Вікторівна,жіноча,1956-03-21,Євнух,село Полтава,"площа Улітіна, буд. 586 кв. 06, Радехів, 94591",+380 56 277-73-97,larysa67@example.org
Романець,Зорян,Захарович,чоловіча,1940-06-23,Льотчик,хутір Ічня,"вулиця Міцкевича, буд. 707 кв. 2, Кам'янка (Черкаська область), 24114",078 781 75 57,albert86@example.org
Назаренко,Давид,Русланович,чоловіча,1996-08-09,Зоолог,місто Бердянськ,"сквер Бісквітний, буд. 6 кв. 17, Заводське, 81598",+380 27 929-87-89,ushamrai@example.com
Овсієнко,Венедикт,Миколайович,чоловіча,1934-08-17,Електромонтер,місто Покровськ,"парк Пастера, буд. 430 кв. 2, Волочиськ, 93407",+380 83 413-42-80,gzhytskaspas@example.net
Даценко,Левко,Олександрович,чоловіча,1932-08-14,Етнограф,селище Красноград,"узвіз Степана Разіна, буд. 9 кв. 18, Гола Пристань, 11384",021 501 01 29,hannasaienko@example.org
Скиба,Клавдія,Тарасівна,жіноча,1937-05-27,Менеджер,село Яворів,"провулок Софіївська, буд. 00, Люботин, 20688",743-46-09,dzhunnazar@example.net
Цимбал,Климент,Дмитрович,чоловіча,1931-04-08,Агроном,село Острог,"шосе Асєєва Юрія, буд. 5 кв. 497, Каховка, 43728",198-37-73,iaroslav79@example.com
Литвиненко,Єлисей,Русланович,чоловіча,1932-12-06,Зоолог,селище Суми,"провулок 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 9 кв. 972, Іловайськ, 25711",+380 31 408-19-39,havryliukihor@example.net
Цушко,Аніта,Федорівна,жіноча,1964-05-26,Кінолог,село Стрий,"вулиця Нікітіна, буд. 40 кв. 11, Ізяслав, 44462",104 78 94,lzhuk@example.net
Свириденко,Веніямин,Тарасович,чоловіча,1950-11-18,Ботанік,селище Первомайський ,"проспект Аеропортівський 5-й, буд. 16, Житомир, 36929",320-15-27,ytryhub@example.com
Матвієнко,Лукʼян,Ярославович,чоловіча,1971-05-31,Психолог,селище Перечин,"провулок Зарічна, буд. 873, Львів, 83864",+380 50 668-35-84,banderatymofii@example.org
Семенченко,Орхип,Сергійович,чоловіча,1989-08-29,Музичний редактор,село Енергодар,"сквер Новоукраїнський, буд. 9 кв. 1, Семенівка, 51656",000 440 88 99,edytashukhevych@example.com
Комар,Єлисавета,Ярославівна,жіноча,1957-11-05,Юрист,селище Гребінка,"узвіз Інтернаціональний, буд. 2, Вишневе , 65959",720-77-96,adamenkoillia@example.com
Дуплій,Данило,Олександрович,чоловіча,1993-05-07,Стоматолог,село Дружківка,"узвіз 6-та Лінія Марії Демченко, буд. 254 кв. 305, Українськ, 30495",+380 (79) 009-21-26,hordiishukhevych@example.net
Шаповал,Еріка,Михайлівна,жіноча,1972-09-15,Флорист,місто Васильків,"парк Отрадна, буд. 292 кв. 644, Борщів, 27391",+380 32 441-88-55,volodymyra11@example.net
Іщак,Валентин,Костянтинович,чоловіча,1963-03-25,Фізик,селище Докучаєвськ,"сквер Суперфосфатна, буд. 77, Новодружеськ, 72567",041 432 85 02,ostap07@example.com
Яремчук,Пантелеймон,Сергійович,чоловіча,1990-08-25,Няня,селище Заставна,"набережна Лінія 53-тя, буд. 53, Вилкове, 74661",+380 (27) 023-75-03,spas57@example.com
Архимович,Богодар,Федорович,чоловіча,1933-12-03,Редактор,село Володимир-Волинський,"вулиця Балтський 1-й, буд. 96, Немирів, 89931",+380 14 607-60-64,amalyk@example.net
Сіробаба,Еріка,Богданівна,жіноча,1958-04-27,Паблік рилейшнз,хутір Дергачі,"набережна Уманська, буд. 2 кв. 585, Сквира, 87861",+380 71 313-94-55,nadiiaartymovych@example.net
Бабійчук,Амалія,Богданівна,жіноча,1969-07-21,Хімік,селище Глиняни,"площа Гагарінське плато, буд. 1 кв. 635, Нова Каховка, 70845",816 18 47,parmenshcherbak@example.com
Байдак,Кирило,Ярославович,чоловіча,1997-10-23,Няня,місто Бахмут,"сквер Молодіжна, буд. 4, Боково-Хрустальне, 62428",+380 98 096-72-79,danylenkorozaliia@example.org
Цибуленко,Едуард,Дмитрович,чоловіча,1991-02-08,Кінорежисер,селище Тульчин,"шосе Михайла Божія, буд. 5, Збараж, 51368",+380 57 426 39 69,bohdaniaremenko@example.net
Демʼяненко,Олена,Михайлівна,жіноча,1964-08-26,Археолог,село Городище ,"узвіз Слєпньова, буд. 193, Жашків, 01387",+380 59 198 40 17,hmazur@example.com
Величко,Віра,Юріївна,жіноча,1995-01-27,Секретар,хутір Балаклія,"парк Сурикова, буд. 99, Бобринець, 15277",080 438 73 42,ntsymbaliuk@example.org
Швачко,Данна,Вікторівна,жіноча,1973-04-24,Фрілансер,селище Вільнянськ,"вулиця Транспортна, буд. 0, Бережани, 86907",+380 67 415-58-45,olesavdieienko@example.com
Вертипорох,Тетяна,Петрівна,жіноча,1955-12-30,Швачка,село Берестечко,"набережна Привокзальна, буд. 239 кв. 92, Гола Пристань, 97473",+380 (90) 574-59-46,mariiaverhun@example.net
Сомко,Федір,Сергійович,чоловіча,1994-09-13,Архітектор,селище Почаїв,"площа Лобачевського, буд. 7 кв. 5, Марганець , 08029",021 331-93-05,viktorvakhnii@example.com
Юхименко,Олена,Тарасівна,жіноча,1958-06-25,Агроном,місто Новояворівськ,"площа Сирітський, буд. 0 кв. 698, Світловодськ, 70692",013 678-35-31,riabovilievhen@example.net
Баран,Зиновій,Тарасович,чоловіча,2001-08-18,Модель,село Калинівка ,"сквер Пiвденний, буд. 424 кв. 682, Тисмениця, 11547",+380 24 169-64-64,semenchenkomyron@example.net
Адаменко,Ада,Ярославівна,жіноча,1969-07-29,Архітектор,село Олевськ,"узвіз Стєклова, буд. 542, Іловайськ, 47717",078 325-63-15,alinalesyk@example.com
Щириця,Валерій,Дмитрович,чоловіча,1969-05-22,Ді-джей,місто Судова Вишня,"проспект Василя Кандинського 2-й, буд. 26 кв. 01, Шпола, 44390",+380 21 354 11 51,petrodankiv@example.org
Удовиченко,Аркадій,Вікторович,чоловіча,1983-08-24,Адвокат,село Узин,"вулиця Ромашкова, буд. 08 кв. 699, Вижниця, 41188",003 441 87 65,bezditkozynovii@example.com
Ґжицька,Омелян,Федорович,чоловіча,1986-07-20,Різноробочий,місто Лутугине,"узвіз Високий, буд. 60 кв. 207, Черкаси, 73498",+380 99 455-09-77,voblyibohodar@example.org
Годунок,Нестор,Ярославович,чоловіча,1954-11-20,Фізик,село Угнів,"шосе Садова 2-га, буд. 32, Червоносів, 89366",+380 (90) 418-22-95,kabramenko@example.com
Засенко,Нестор,Петрович,чоловіча,1967-11-16,Громадський діяч,місто Мостиська,"набережна Лиманчик 2-й Лінія 2-га, буд. 176, Кілія, 17794",085 954-90-86,xsimashkevych@example.org
Тесленко,Костянтин,Захарович,чоловіча,1998-10-11,Палеонтолог,селище Южноукраїнськ,"провулок Студентський 2-й, буд. 86, Новодністровськ, 24141",047 922 60 73,frebryk@example.net
Короленко,Камілла,Федорівна,жіноча,1972-06-26,Кінокритик,місто Сіверськ,"набережна Яші Гордієнка, буд. 260, Вашківці, 50523",+380 29 999 04 43,uandriichuk@example.org
Верес,Назар,Сергійович,чоловіча,1999-06-06,Мікробіолог,село Бахмут,"проспект Ковалевського, буд. 64 кв. 822, Кам'янське, 28747",008 476 55 31,skybazorian@example.com
Каденюк,Валерій,Костянтинович,чоловіча,1932-12-08,Астрофізик,місто Дунаївці,"сквер Ашгабатська, буд. 872 кв. 17, Полтава, 95339",+380 23 475-15-20,okhrimenkohordii@example.com
Ткач,Єлисей,Олександрович,чоловіча,1948-02-04,Кушнір,село Моршин,"вулиця Проектований 4-й, буд. 53 кв. 082, Свалява, 13161",+380 42 993-21-91,dupliileon@example.org
Сагаль,Петро,Григорович,чоловіча,1943-08-09,Педагог,місто Монастирище,"сквер Дорбуду, буд. 15 кв. 168, Алмазна, 28537",992-75-56,andriiovycholeksandr@example.com
Царенко,Адам,Леонідович,чоловіча,1969-02-16,Географ,місто Тараща,"набережна Виноградна 1-ша, буд. 3, Петрово-Красносілля, 70880",+380 (06) 699-28-20,lonishchuk@example.net
Байда,Ліза,Федорівна,жіноча,1982-05-15,Реабілітолог,село Коростень,"сквер 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 4, Умань, 29914",455-20-22,izhakpriska@example.org
Христич,Єва,Іванівна,жіноча,1952-06-13,Фармацевт,місто Узин,"проспект Курська, буд. 5 кв. 2, Помічна, 21197",+380 (84) 901-52-62,volodymyrabezborodko@example.net
Бабенко,Амалія,Вікторівна,жіноча,1981-12-27,Дипломат,селище Шахтарськ,"узвіз Джутовий, буд. 3, Гайсин, 15042",+380 57 769-95-03,haidenkomarusia@example.com
Бевз,Марина,Вікторівна,жіноча,1943-09-13,Випробувач,хутір Південне ,"набережна Льва Симиренка, буд. 252 кв. 803, Винники, 63136",565 40 09,medvedenkomartyn@example.com
Канівець,Єлисавета,Русланівна,жіноча,1999-02-26,Співак,місто Кіцмань,"проспект Олександра Блока, буд. 25, Вилкове, 99579",+380 28 097 46 94,babychviktor@example.net
Сиротенко,Ігнат,Іванович,чоловіча,1961-05-31,Льотчик,хутір Березне,"провулок Єрмака, буд. 2 кв. 8, Дрогобич, 87377",683 07 84,ivanvysochan@example.net
Цушко,Аркадій,Дмитрович,чоловіча,2006-02-04,Клоун,село Калуш,"вулиця Байкал тупик, буд. 11 кв. 9, Дубровиця, 94476",656-86-15,onysympoltavets@example.org
Бабʼяк,Тетяна,Юріївна,жіноча,1997-05-21,Паралегал,селище Сновськ,"вулиця Дідріхсона, буд. 71 кв. 908, Покровськ, 08731",029-77-77,zinkevychiaroslav@example.net
Ємець,Охрім,Русланович,чоловіча,1962-09-15,Фізик,хутір Турка,"провулок Аеропортівський 5-й, буд. 494 кв. 35, Перещепине, 61960",397 74 25,viramykytiuk@example.com
Дутка,Мілена,Тарасівна,жіноча,1950-05-13,Стиліст,хутір Лутугине,"сквер Леваневського, буд. 2 кв. 495, Часів Яр, 15172",000 584-48-03,ctsymbaliuk@example.org
Бакуменко,Демид,Олександрович,чоловіча,1987-09-07,Психолог,селище Копичинці,"шосе Ромашкова, буд. 93 кв. 8, Кривий Ріг, 76996",+380 15 615-88-20,symonenkoavrelii@example.net
Бабариченко,Мартин,Євгенович,чоловіча,2005-10-25,Акушер,селище Петрово-Красносілля,"узвіз Зоринська, буд. 96 кв. 863, Сколе, 22847",866-86-54,mariia77@example.com
Корсун,Галина,Русланівна,жіноча,1984-07-11,Швачка,місто Генічеськ,"площа Богуна, буд. 228, Почаїв, 76202",+380 (53) 967-63-90,tymofii11@example.net
Ковпак,Аврелій,Леонідович,чоловіча,1951-01-27,Фольклорист,селище Ірпінь,"набережна Хвойний, буд. 263 кв. 893, Миколаїв, 82818",263-92-00,maksym02@example.com
Василенко,Миколай,Костянтинович,чоловіча,1950-02-24,Головний меркшейдер,місто Батурин,"вулиця Болградська, буд. 95, Путивль, 83033",073 143-19-53,imoskal@example.net
Фесенко,Мартин,Русланович,чоловіча,2008-07-17,Музикознавець,місто Винники,"площа Ювілейний 1-й, буд. 6, Світловодськ, 67972",002 416 20 74,kyrylo11@example.net
Козаченко,Соломія,Леонідівна,жіноча,1961-09-27,Золотар,місто Зимогір'я,"провулок Святослава Ріхтера, буд. 632 кв. 6, Могилів-Подільський, 68379",+380 34 501-14-05,venedyktieromenko@example.org
Голобородько,Едита,Дмитрівна,жіноча,1993-09-02,Диригент,селище Вовчанськ,"узвіз Поштовий, буд. 2, Хмільник, 46159",+380 17 240-51-76,wsliusar@example.net
Цимбалюк,Варфоломій,Іванович,чоловіча,1998-10-03,Гінеколог,село Звенигородка,"шосе 14-та Суворовська, буд. 9 кв. 61, Оріхів, 65148",025 180-52-36,rdziuba@example.net
Дзюба,Феофан,Сергійович,чоловіча,1989-12-21,Паралегал,селище Вашківці,"сквер Лобачевського, буд. 3, Мукачево, 92753",+380 01 535-18-43,redkoleonid@example.com
Артимишин,Пріска,Миколаївна,жіноча,1985-12-15,Провізор,село Шпола,"шосе Урожайна, буд. 622 кв. 92, Баштанка, 39163",+380 (23) 792-44-92,khrystynagerus@example.org
Таран,Роман,Юрійович,чоловіча,1928-12-23,Правник,хутір Бориспіль,"площа Штурвальна, буд. 1 кв. 57, Лисичанськ, 52172",+380 02 896-93-11,idatsiuk@example.org
Акуленко,Омелян,Федорович,чоловіча,1985-06-20,М'ясник,хутір Чоп,"набережна Щіпний, буд. 14 кв. 64, Новодружеськ, 58659",022 353-57-34,oksanasamoilenko@example.com
Литвин,Пріска,Сергіївна,жіноча,1939-11-11,М'ясник,місто Снятин,"парк Героїв прикордонників, буд. 9 кв. 90, Путивль, 27809",073 640 56 39,azhazhapriska@example.org
Демʼянчук,Сніжана,Іванівна,жіноча,1981-01-04,Соціолог,хутір Охтирка,"вулиця Радіальна, буд. 58, Пирятин, 30206",437 36 45,batihbohuslav@example.org
Скирда,Кирило,Захарович,чоловіча,1978-07-06,Ветеринар,селище Семенівка,"сквер Республіканська, буд. 08 кв. 836, Ходорів, 95377",239 85 55,protsenkomaryna@example.com
Чаленко,Леонід,Федорович,чоловіча,1932-04-22,Бізнесмен,місто Любомль,"набережна Юннатів 2-й, буд. 272 кв. 45, Первомайський , 34606",+380 39 407-36-32,davydiarema@example.net
Шутько,Гаврило,Костянтинович,чоловіча,1977-10-04,Юрист,місто Сокиряни,"шосе Проектований 3-й, буд. 8 кв. 532, Бобринець, 80393",052 276 36 15,irenaiurchenko@example.org
Вакарчук,Людмила,Ярославівна,жіноча,2007-06-17,Дипломат,місто Миргород,"шосе Неплія, буд. 30, Чорнобиль, 97474",+380 09 066 39 00,lutsenkoiakiv@example.org
Єрченко,Богдан,Богданович,чоловіча,1995-07-09,Продюсер,хутір Скалат,"шосе Естонська, буд. 43, Підгайці, 79452",040 458 08 66,spanchuk@example.com
Атрощенко,Камілла,Богданівна,жіноча,1982-04-07,Дантист,село Дружба ,"провулок Штильова, буд. 415 кв. 65, Шпола, 01412",+380 12 284-70-42,oksana74@example.net
Шаблій,Адам,Тарасович,чоловіча,1944-09-12,Мистецтвознавець,селище Іловайськ,"провулок Просьолочна, буд. 93, Первомайський , 34164",007 253-25-49,tetianazasiadko@example.net
Дацюк,Віталій,Вікторович,чоловіча,2000-01-04,Будник,село Стрий,"сквер Мечникова, буд. 36, Полонне, 01107",380 29 32,zakhar35@example.org
Алексеєнко,Остап,Петрович,чоловіча,1958-04-14,Музикант,село Коломия,"парк Тюльпанний, буд. 046, Сарни, 45500",065 527 21 47,bkybkalo@example.com
Жученко,Азар,Богданович,чоловіча,1977-11-04,М'ясник,селище Великі Мости,"парк Геологічна, буд. 82, Снігурівка, 26412",027 943-08-15,olhaatamanchuk@example.net
Бабʼяк,Анжела,Сергіївна,жіноча,1928-08-11,Психолог,село Олександрія,"парк Рішельєвська, буд. 038, Дубровиця, 18353",+380 (35) 152-51-02,arkadii87@example.net
Сірченко,Світлана,Костянтинівна,жіноча,1997-05-15,Різноробочий,селище Снятин,"набережна Ключовий 2-й, буд. 7 кв. 5, Горлівка, 68980",+380 (64) 711-37-88,symonhuzenko@example.com
Титаренко,Борис,Федорович,чоловіча,1981-12-16,Футболіст,хутір Винники,"шосе Шилова, буд. 9, Сокаль, 44597",362 15 18,hannaazhazha@example.org
Атаманчук,Роксолана,Дмитрівна,жіноча,1948-01-06,Редактор,місто Рубіжне,"площа Гонтаренко, буд. 037, Костопіль, 53872",+380 57 164-76-10,diaremenko@example.com
Литвиненко,Ліза,Костянтинівна,жіноча,1952-08-04,Співак,місто Славута,"площа Сабанєєв, буд. 1, Судова Вишня, 50520",+380 65 156-55-84,kalenychenkomaksym@example.org
Масляк,Валентина,Григорівна,жіноча,1958-07-29,Педагог,селище Вилкове,"сквер Совіньйонівський, буд. 8, Городня, 23906",078 249 72 49,mykhailyna03@example.net
Джус,Маруся,Захарівна,жіноча,1944-08-06,Головний меркшейдер,хутір Феодосія,"площа Студентський 3-й, буд. 404, Бердянськ, 46667",180 10 98,vdubenko@example.net
Павлик,Орися,Іванівна,жіноча,1940-08-21,Біолог,місто Гірське,"парк Різдвяна, буд. 1, Соснівка , 40042",024 858 45 25,opanaschuiko@example.net
Адаменко,Костянтин,Євгенович,чоловіча,2001-03-06,Музикознавець,село Сватове,"проспект 1-ша Суворовська, буд. 359 кв. 6, Стебник, 48647",052 276 95 23,pavlo37@example.org
Гузенко,Олена,Миколаївна,жіноча,1985-05-01,Піаніст,місто Красноперекопськ,"сквер Сухолиманна, буд. 5, Малин, 26306",+380 01 653 77 60,cdashkevych@example.org
Алексюк,Олекса,Іванович,чоловіча,1982-05-14,Стиліст,село Миколаївка ,"вулиця Улітіна, буд. 071 кв. 888, Татарбунари, 04517",490 93 89,haidamakahlib@example.com
Вакуленко,Максим,Миколайович,чоловіча,1946-10-02,Підприємець,село Ізюм,"набережна Яші Гордієнка, буд. 98, Курахове, 78833",+380 24 484-90-90,mykhailyna32@example.org
Охріменко,Леопольд,Федорович,чоловіча,1995-08-04,Перекладач,хутір Камінь-Каширський,"набережна Недєліна, буд. 803, Сокиряни, 71413",027 100-68-47,fshovkoplias@example.org
Шеремета,Ліза,Юріївна,жіноча,2005-03-25,Машиніст,селище Нова Одеса,"вулиця Дніпропетровська дорога, буд. 550, Андрушівка, 57866",+380 70 433 08 82,onysymsyrotenko@example.com
Масоха,Дмитро,Олександрович,чоловіча,2007-08-01,Маркетолог,місто Вижниця,"набережна Партизанська, буд. 9 кв. 778, Сторожинець, 91988",084 514-61-05,iosyp84@example.net
Єрмоленко,Леопольд,Іванович,чоловіча,1980-08-29,Флорист,село Снятин,"сквер Сливова, буд. 7, Суми, 68487",421 82 23,mariia22@example.com
Іванченко,Камілла,Костянтинівна,жіноча,1998-10-04,Музикант,селище Буча,"парк Цебриківська, буд. 5, Скадовськ, 62317",563-87-23,siaremkiv@example.com
Філіпенко,Валерій,Богданович,чоловіча,1986-07-16,Актор,хутір П'ятихатки,"площа Новгородський 2-й, буд. 9, Дружківка, 55594",+380 (40) 302-97-97,pavloskyba@example.com
Данчук,Борислав,Андрійович,чоловіча,1991-12-15,Золотар,місто Жовква,"шосе Ушакова, буд. 09, Лисичанськ, 78528",789-25-10,viktoriiakolisnychenko@example.org
Матвієнко,Марія,Богданівна,жіноча,1975-07-17,Художник,селище Ківерці,"проспект Верф’яний, буд. 434, Кам'янка-Бузька, 68217",+380 60 286-72-51,iaroslavhavrylenko@example.com
Скиба,Варфоломій,Федорович,чоловіча,1975-11-06,Мистецтвознавець,село Хирів,"узвіз Бориса Дерев'янка, буд. 337, Ананьїв, 87284",080 798-93-84,feofan75@example.org
Шовкопляс,Тетяна,Євгенівна,жіноча,2005-01-06,Футболіст,село Кіцмань,"шосе Псковський, буд. 56 кв. 529, Яворів, 81801",777-13-78,alevtyn60@example.com
Артимишина,Павло,Олександрович,чоловіча,1998-08-31,Астрофізик,хутір Корюківка,"парк Змієнка Всеволода, буд. 15, Залізне, 94486",+380 62 023 90 45,nazarorobets@example.com
Проценко,Данна,Миколаївна,жіноча,2008-02-13,Швачка,хутір Славута,"узвіз Книжковий, буд. 06 кв. 062, Вільнянськ, 20611",+380 83 960-39-31,rdatsiuk@example.net
Атрощенко,Мартин,Григорович,чоловіча,2001-04-13,Громадський діяч,село Обухів,"набережна Державіна, буд. 78 кв. 34, Мерефа, 73078",+380 10 876 44 44,shtokaloanton@example.com
Іваненко,Левко,Юрійович,чоловіча,1986-04-25,Водій,місто Зборів,"парк Фабрична, буд. 8, Кальміуське, 82624",+380 31 622-05-97,petro79@example.com
Стус,Олена,Леонідівна,жіноча,2000-07-12,Сантехнік,село Кагарлик,"шосе Баштанна, буд. 52, Хрустальний, 23194",+380 80 208-06-09,baidaalbert@example.com
Тягнибок,Ірена,Юріївна,жіноча,1982-06-04,Педагог,хутір Підгайці,"узвіз Стеценко, буд. 7 кв. 6, Ромни, 47078",+380 19 057 48 37,kovaliukvolodymyr@example.net
Лубенець,Тереза,Михайлівна,жіноча,1930-05-28,Психолог,місто Гірське,"площа Житомирська, буд. 153, Шепетівка, 83870",+380 79 869-73-30,violettashcherbak@example.com
Олійник,Ігнат,Сергійович,чоловіча,1929-06-06,Художник,селище Тростянець,"провулок Польова, буд. 11 кв. 87, Кролевець, 88440",084 875-34-39,ielyseikorzh@example.org
Швачка,Пантелеймон,Костянтинович,чоловіча,1967-04-01,Етнограф,селище Лутугине,"узвіз Спартаківська, буд. 1 кв. 83, Роздільна, 62771",022 863-52-56,amvrosii48@example.com
Заруба,Михайло,Богданович,чоловіча,1982-05-18,Менеджер,селище Євпаторія,"шосе Лінія 49-та, буд. 77 кв. 54, Підгайці, 32117",052-12-64,oleksandr04@example.com
Єрошенко,Розалія,Дмитрівна,жіноча,2002-08-20,Піаніст,село Ізяслав,"проспект Будівельна, буд. 7, Лиман , 38030",300 71 61,davyd08@example.net
Швачка,Павло,Дмитрович,чоловіча,1958-05-30,Модель,хутір Ізяслав,"площа Сурикова, буд. 04, Гнівань, 74274",098 072 34 00,sofiia92@example.org
Бандурка,Олекса,Євгенович,чоловіча,1928-01-05,Сценарист,місто Умань,"проспект 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 86, Сніжне, 28303",+380 20 870 70 93,pryimakiakiv@example.net
Макаренко,Гліб,Богданович,чоловіча,1970-08-03,Гірничий інженер,селище Кременчук,"узвіз Теліги Олени, буд. 3, Нова Одеса, 64653",+380 71 984-57-24,azarisaievych@example.org
Ващенко-Захарченко,Данна,Федорівна,жіноча,1937-08-14,Економіст,хутір Почаїв,"вулиця Висока, буд. 74 кв. 9, Жовква, 30607",644 87 11,zarubamilena@example.org
Дубенко,Хома,Вікторович,чоловіча,1980-02-16,Юрист,село Чуднів,"провулок Миколи Боровського, буд. 4 кв. 59, Бахмач, 24416",895-84-40,sdutka@example.org
Романчук,Дарина,Федорівна,жіноча,1979-02-02,Конструктор,місто Залізне,"парк Грецька, буд. 42 кв. 6, Кам'янець-Подільський, 09209",+380 57 455-27-31,yeibozhenko@example.org
Бевз,Владислав,Захарович,чоловіча,1961-05-06,Музикант,село Боково-Хрустальне,"проспект Лиманчик 2-й Лінія 2-га, буд. 74, Бахмут, 91714",+380 04 753 55 76,tchekaliuk@example.org
Дашкевич,Христина,Костянтинівна,жіноча,1946-01-23,Агроном,село Христинівка,"узвіз Шишкіна, буд. 733, Горішні Плавні, 29654",891 94 08,mykytasymonenko@example.net
Ярема,Лукʼян,Богданович,чоловіча,1937-06-07,Дизайнер,місто Лохвиця,"площа Троїцька, буд. 77 кв. 9, Монастирище, 47042",+380 16 031-26-93,ksvystun@example.net
Адаменко,Павло,Іванович,чоловіча,1970-04-13,Детектив,селище Чернівці,"провулок Мазепи Івана, буд. 8 кв. 260, Бахмач, 70972",659 12 60,rozaliia98@example.org
Саченко,Віталій,Сергійович,чоловіча,1959-04-19,Реставратор,село Черкаси,"провулок Моторний 2-й, буд. 158 кв. 0, Дніпро , 55035",+380 (48) 049-52-13,xovcharenko@example.org
Ткач,Артем,Петрович,чоловіча,1986-01-02,Футболіст,село Світловодськ,"площа Восьмого березня 2-й, буд. 7, Чистякове, 99542",845 81 91,ctsushko@example.org
